Date,Team Name,Team Size,Start Time,End Time,Total Time,Puzzles Solved
2016-07-12,Team Zero Seconds,3,19:08:00,21:29:00,02:21:00,6
2016-07-12,Textbook Examples,3,18:51:00,20:37:00,01:46:00,6
2016-07-12,Galactic Trendsetters,4,19:15:00,20:32:00,01:17:00,6
2016-07-12,Undeciphered,5,19:06:00,22:00:00,02:54:00,
2016-07-12,GC,2,,,,
2016-08-09,Galactic Trendsetters,4,19:12:00,20:11:00,00:59:00,5
2016-08-09,Textbook Examples in Space,3,19:04:00,20:22:00,01:18:00,5
2016-08-09,Epic Sailors,2,19:20:00,20:44:00,01:24:00,5
2016-08-09,Puzzlestar Puzzlactica,5,19:15:00,20:47:00,01:32:00,5
2016-08-09,Team Zero Seconds,4,19:00:00,21:10:00,02:10:00,5
2016-08-09,Spinish,4,19:56:00,22:28:00,02:32:00,5
2016-08-09,Bird is the Word,2,19:44:00,21:32:00,01:48:00,2
2016-08-09,GC,2,,,,
2016-09-13,Textbook Examples,3,19:17:00,20:39:00,01:22:00,5
2016-09-13,Michael's Spider Legs,6,18:56:00,21:07:00,02:11:00,5
2016-09-13,MITCHDEEZUS,1,19:15:00,21:30:00,02:15:00,1
2016-09-13,Zero Seconds,3,19:00:00,20:29:00,01:29:00,5
2016-09-13,Puzzlestar Puzzlactica,6,19:17:00,20:10:00,00:53:00,5
2016-09-13,Galactic Trendsetters,4,19:17:00,19:53:00,00:36:00,5
2016-09-13,GC,,,,,
2016-10-11,Dr. Know,4,19:05:00,20:07:00,01:02:00,5
2016-10-11,Puzzlestar Puzzleactica,6,19:00:00,20:08:00,01:08:00,5
2016-10-11,Heidi's Goat,5,19:02:00,20:26:00,01:24:00,5
2016-10-11,Shere Konrad's Tigers,6,19:01:00,20:26:00,01:25:00,5
2016-10-11,No Name,2,19:39:00,21:10:00,01:31:00,5
2016-10-11,Team Zero Seconds,3,19:26:00,21:08:00,01:42:00,5
2016-10-11,Spinash,4,19:13:00,21:53:00,02:40:00,5
2016-10-11,GC,2,,,,
2016-11-08,Spinish,5,19:12:00,22:02:00,02:50:00,5
2016-11-08,Try-Fecta,3,19:05:00,21:57:00,02:52:00,5
2016-11-08,Team Zero Seconds,1.5,19:02:00,21:38:00,02:36:00,5
2016-11-08,Team Bear'd,3,19:24:00,21:34:00,02:10:00,4
2016-11-08,Puzzlestar Puzzlactica,5,19:35:00,20:40:00,01:05:00,5
2016-11-08,Galactic Trendsetters,3,19:03:00,20:29:00,01:26:00,3
2016-11-08,Dr. Nose,4,19:23:00,20:04:00,00:41:00,5
2016-11-08,GC,,,,,
2016-12-13,Doctor Noels,4,19:10:00,20:21:00,01:11:00,5
2016-12-13,Puzzlestar Puzzleactica,5,19:15:00,21:15:00,02:00:00,5
2016-12-13,Spinish,4,19:04:00,21:26:00,02:22:00,5
2016-12-13,Team Zero Seconds,3,19:07:00,21:38:00,02:31:00,5
2016-12-13,Epic Sailors,2,20:05:00,21:44:00,01:39:00,5
2016-12-13,Team Discovery Channel,2,19:12:00,21:46:00,02:34:00,5
2016-12-13,Snoring Beasts,3,20:05:00,21:50:00,01:45:00,4
2016-12-13,Liberal Dark Arts,5,19:06:00,21:54:00,02:48:00,5
2016-12-13,RIP Nick's Stache,5,19:09:00,22:00:00,02:51:00,5
2016-12-13,ASPCD,3,19:08:00,22:05:00,02:57:00,5
2016-12-13,GC,,,,,
2017-01-10,The Mispelers,4,07:21:00,09:55:00,02:34:00,5
2017-01-10,Mary Berry for Sec of Treasury,3,07:00:00,09:51:00,02:51:00,5
2017-01-10,Finger Licking Chow,5,07:00:00,08:23:00,01:23:00,5
2017-01-10,"Dr. Know, Sir",5,07:23:00,08:13:00,00:50:00,5
2017-01-10,Textbook Examples,3,07:04:00,08:03:00,00:59:00,5
2017-01-10,GC,,,,,
2017-03-14,Galactic Trendsetters,4,19:10:00,19:45:00,00:35:00,5
2017-03-14,Zero Seconds,4,19:03:00,19:52:00,00:49:00,5
2017-03-14,Doctor Nonsense,4,19:26:00,19:54:00,00:28:00,5
2017-03-14,The Pi Reciters,4,19:00:00,20:12:00,01:12:00,5
2017-03-14,Puzzlestar Puzzlactica,2,19:00:00,20:17:00,01:17:00,5
2017-03-14,"F, FF, F, F",3,19:01:00,20:18:00,01:17:00,5
2017-03-14,Hipsters Got Swag,3,19:02:00,20:38:00,01:36:00,5
2017-03-14,Birthday Cat,6,19:15:00,20:43:00,01:28:00,5
2017-03-14,Textbook Examples,3,20:18:00,21:02:00,00:44:00,5
2017-03-14,Frygals,2,19:02:00,21:02:00,02:00:00,4
2017-03-14,Spinish,4,19:18:00,21:23:00,02:05:00,5
2017-03-14,Epic Sailors,4,20:18:00,21:35:00,01:17:00,5
2017-03-14,GC,2,,,,
2017-04-11,4 Score & 7 Beers Ago,4,19:53:00,21:17:00,01:24:00,5
2017-04-11,Spinish,4,19:06:00,21:06:00,02:00:00,5
2017-04-11,Team Zero Seconds,2,19:08:00,20:41:00,01:33:00,5
2017-04-11,Clueth Raider Winsburg,4,19:13:00,20:38:00,01:25:00,5
2017-04-11,Dr. Notrump,4,19:53:00,20:32:00,00:39:00,5
2017-04-11,Elena Cluegan,3,19:13:00,20:18:00,01:05:00,5
2017-04-11,LowBrow LiNe,5,19:01:00,19:46:00,00:45:00,5
2017-04-11,Epic Sailors,2,19:17:00,19:50:00,00:33:00,5
2017-04-11,GC,,,,,
2017-05-09,Low(Brow) Line,4,19:01:00,20:29:00,01:28:00,6
2017-05-09,Zero Seconds,5,19:00:00,20:48:00,01:48:00,6
2017-05-09,Field's Day,5,19:02:00,20:52:00,01:50:00,6
2017-05-09,Textbook Examples,2,19:02:00,20:52:00,01:50:00,6
2017-05-09,Popcorn Tubbins & Horseboy,2,19:20:00,21:02:00,01:42:00,6
2017-05-09,4 Score and 7 Beers Ago,2,19:00:00,21:07:00,02:07:00,6
2017-05-09,Clueth Raider Winsburg,5,19:11:00,21:32:00,02:21:00,6
2017-05-09,Pickled Black Licorice,6,19:12:00,21:33:00,02:21:00,6
2017-05-09,Galactic Trendsetters,4,19:33:00,21:35:00,02:02:00,6
2017-05-09,Spinish,3,19:13:00,22:14:00,03:01:00,6
2017-05-09,Two Cool Dudes,2,19:16:00,22:18:00,03:02:00,6
2017-05-09,Button Classic,2,19:45:00,22:19:00,02:34:00,3
2017-05-09,GC,2,,,,
2017-06-13,Spinish,4,19:24:00,21:21:00,01:57:00,5
2017-06-13,Epic Sailors,2,19:14:00,20:15:00,01:01:00,5
2017-06-13,Four Score and Seven Beers Ago,4,19:23:00,20:14:00,00:51:00,5
2017-06-13,Team Zero Seconds,4,19:08:00,20:20:00,01:12:00,5
2017-06-13,Low Brow Line,4,19:03:00,20:30:00,01:27:00,5
2017-06-13,The Puzzler's Dilemma,3,19:44:00,20:31:00,00:47:00,5
2017-06-13,Everyday I'm Puzzlin',3,19:15:00,21:00:00,01:45:00,5
2017-06-13,Button Classic,5,19:22:00,21:00:00,01:38:00,5
2017-06-13,No Pun Nintendo,4,19:29:00,21:09:00,01:40:00,5
2017-06-13,GC,,,,,
2017-07-11,Puzzlestar Puzzlactica,6,19:13:00,19:48:00,00:35:00,5
2017-07-11,Textbook Examples,3,19:14:00,19:54:00,00:40:00,5
2017-07-11,Zero Seconds,3,19:11:00,19:59:00,00:48:00,5
2017-07-11,LoW LiNe (No Brows),4,19:02:00,20:14:00,01:12:00,5
2017-07-11,Four Score and Seven Beers Ago,4,19:19:00,20:15:00,00:56:00,5
2017-07-11,Dr. Snow,4,19:42:00,20:17:00,00:35:00,5
2017-07-11,Spinish,5,19:10:00,20:23:00,01:13:00,5
2017-07-11,Pickled Black Licorice,5,19:21:00,20:24:00,01:03:00,5
2017-07-11,Gentleman Johnny's Party Train,4,19:16:00,20:39:00,01:23:00,5
2017-07-11,Button Classic,3.5,19:25:00,21:31:00,02:06:00,5
2017-07-11,Big Game Hunters,3,19:27:00,21:53:00,02:26:00,5
2017-07-11,Recklessly Fuzzy,2,19:00:00,22:09:00,03:09:00,5
2017-07-11,(no sheet returned),1,19:34:00,,04:26:00,
2017-07-11,GC,2,,,,
2017-08-08,Recklessly Fuzzy,3,19:09:00,22:18:00,03:09:00,5
2017-08-08,Spinish,3,19:01:00,22:00:00,02:59:00,5
2017-08-08,CBTeam,3,19:31:00,21:35:00,02:04:00,5
2017-08-08,Pickled Black Licorice,6,19:14:00,21:14:00,02:00:00,5
2017-08-08,Big Game Hunters,3,19:06:00,21:09:00,02:03:00,5
2017-08-08,Puzzlestar Puzzlactica,4,19:37:00,20:48:00,01:11:00,4
2017-08-08,4 Score and 7 Beers Ago,2,19:10:00,20:46:00,01:36:00,5
2017-08-08,Low Line,3,19:02:00,20:44:00,01:42:00,5
2017-08-08,Zero Seconds,3,19:01:00,20:36:00,01:35:00,5
2017-08-08,Dr. No Prior Knowledge,5,19:57:00,20:31:00,00:34:00,5
2017-08-08,EPIC SAILORS,2,19:15:00,20:00:00,00:45:00,5
2017-08-08,Button Classic,6,19:11:00,21:19:00,02:08:00,5
2017-08-08,GC,,,,,
2017-09-12,<no event this month>,,,,00:00:00,
2017-09-12,GC,,,,,
2017-10-10,Technical Difficulties,2,19:32:00,21:58:00,02:26:00,5
2017-10-10,Hopeless Academics,2,20:07:00,22:00:00,01:53:00,3
2017-10-10,Spinish,4,19:07:00,21:26:00,02:19:00,5
2017-10-10,Plant and Whale,4,19:03:00,20:48:00,01:45:00,5
2017-10-10,Pickled Black Licorice,5,19:20:00,20:43:00,01:23:00,5
2017-10-10,Fencing Narwales,8,19:06:00,20:42:00,01:36:00,5
2017-10-10,Low Braü LiNe,4,18:55:00,20:28:00,01:33:00,5
2017-10-10,4 Score & 7 Beers Ago,2,19:07:00,20:19:00,01:12:00,5
2017-10-10,Carbonari,5,19:07:00,20:15:00,01:08:00,5
2017-10-10,Puzzlestar Puzzlactica,5,19:17:00,20:13:00,00:56:00,5
2017-10-10,Zero Seconds,2,19:00:00,20:13:00,01:13:00,5
2017-10-10,Dr. Nosferatu,4,19:21:00,20:00:00,00:39:00,5
2017-10-10,Textbook Examples,4,19:10:00,19:54:00,00:44:00,5
2017-10-10,Octopus Tentacles for Hair!,5,19:21:00,20:52:00,01:31:00,5
2017-10-10,Button Classic,4,19:03:00,20:49:00,01:46:00,5
2017-10-10,Unknown,4,19:00:00,22:00:00,03:00:00,3
2017-10-10,GC,2,,,,
2017-11-14,Button Classic,4,19:32:00,20:54:00,01:22:00,5
2017-11-14,Carbonari,3,19:10:00,20:34:00,01:24:00,5
2017-11-14,Dr. Nougat,4,19:39:00,20:21:00,00:42:00,5
2017-11-14,Epic Sailors,2,19:07:00,19:52:00,00:45:00,5
2017-11-14,Family of Knut,3,19:11:00,21:33:00,02:22:00,5
2017-11-14,Galactic Trendsetters,4,19:20:00,20:12:00,00:52:00,5
2017-11-14,Low LiNE,3,18:58:00,20:47:00,01:49:00,5
2017-11-14,Marsh Wiggles,5,19:35:00,20:50:00,01:15:00,5
2017-11-14,A Mostly Harmless Plant & Whale,4,19:11:00,21:02:00,01:51:00,5
2017-11-14,Pickled Black Licorice,6,19:18:00,20:29:00,01:11:00,5
2017-11-14,Puzzlestar Puzzlactica,3,18:57:00,19:54:00,00:57:00,5
2017-11-14,Scent of Pot Roast,5,19:04:00,20:55:00,01:51:00,5
2017-11-14,Spinish,5,19:16:00,20:48:00,01:32:00,5
2017-11-14,Zero Seconds,2,19:17:00,20:18:00,01:01:00,5
2017-11-14,GC,2,,,,
2017-12-12,4 Score and 7 Beers Ago,3,19:15:00,20:09:00,00:54:00,5
2017-12-12,Spinish,5,19:00:00,20:13:00,01:13:00,5
2017-12-12,Button Classic,5,19:24:00,20:25:00,01:01:00,5
2017-12-12,Zero Seconds,2,19:06:00,20:28:00,01:22:00,5
2017-12-12,Low Line,3,19:00:00,20:12:00,01:12:00,5
2017-12-12,Dr. Orsa,4,19:42:00,20:27:00,00:45:00,5
2017-12-12,Pickled Black Licorice,5,19:15:00,20:31:00,01:16:00,5
2017-12-12,Gentleman Johnny's Party Train,3,19:31:00,20:52:00,01:21:00,5
2017-12-12,Scent of Pot Roast,5,19:20:00,20:58:00,01:38:00,5
2017-12-12,Lady Charlotte's Party Train,3,19:31:00,20:30:00,00:59:00,5
2017-12-12,Jo-Jo's All-Stars *,3,19:23:00,21:19:00,01:56:00,5
2017-12-12,Puzzlestar Puzzlactica,4,19:16:00,21:04:00,01:48:00,5
2017-12-12,Plant & Whale,2,19:21:00,21:27:00,02:06:00,5
2017-12-12,Fencing Narwhals,8,19:29:00,21:34:00,02:05:00,5
2017-12-12,GC,2,,,,
2018-01-09,Puzzlestar Puzzlactica,4,19:11:00,20:29:00,01:18:00,5
2018-01-09,Textbook Examples,2,19:17:00,20:29:00,01:12:00,5
2018-01-09,Low Brow Line,4,19:01:00,20:34:00,01:33:00,5
2018-01-09,Spinish,4,19:20:00,20:49:00,01:29:00,5
2018-01-09,EggoManiacs,5,20:07:00,20:58:00,00:51:00,5
2018-01-09,Pickled Black Licorice,6,19:20:00,21:00:00,01:40:00,5
2018-01-09,Button Classic,5,19:40:00,21:10:00,01:30:00,5
2018-01-09,Fencing Narwhals,6,19:18:00,21:13:00,01:55:00,5
2018-01-09,Scent of Pot Roast,5,19:18:00,21:17:00,01:59:00,5
2018-01-09,Puzzle McPuzzleFace,3,19:13:00,21:34:00,02:21:00,3
2018-01-09,Lady Charlotte's Party Train,3,19:31:00,21:41:00,02:10:00,5
2018-01-09,Treacherous Toucans,4,19:18:00,21:53:00,02:35:00,5
2018-01-09,Epstein's Karamazov,2,19:32:00,21:54:00,02:22:00,4
2018-01-09,The Mullets,4,20:00:00,22:13:00,02:13:00,5
2018-01-09,GC,2,,,,
2018-02-13,Manateem,4,19:16:00,22:00:00,02:44:00,3
2018-02-13,Button Classic,5,19:27:00,21:38:00,02:11:00,4
2018-02-13,Plant & Whale,2,19:13:00,21:29:00,02:16:00,4
2018-02-13,Dr. Nova,4,19:51:00,21:23:00,01:32:00,4
2018-02-13,Zero Seconds,3,19:00:00,21:23:00,02:23:00,4
2018-02-13,Spinish,5,19:21:00,21:14:00,01:53:00,4
2018-02-13,Pickled Black Licorice,6,19:21:00,21:16:00,01:55:00,4
2018-02-13,Puzzlestar Puzzlactica,4,19:14:00,21:05:00,01:51:00,4
2018-02-13,Lady Charlotte,3,19:26:00,21:01:00,01:35:00,4
2018-02-13,Bonnie and Clyde,2,18:57:00,20:55:00,01:58:00,4
2018-02-13,Scent of Pot Roast,6,19:03:00,20:54:00,01:51:00,4
2018-02-13,4 Score and 7 Beers Ago,4,19:30:00,20:53:00,01:23:00,4
2018-02-13,Galactic Trendsetters,4,19:06:00,20:54:00,01:48:00,4
2018-02-13,Team Knut,2,,,,4
2018-02-13,GC,2,,,,
2018-03-13,Pickled Black Licorice,3,19:05:00,20:15:00,01:10:00,5
2018-03-13,Doctorum Negosa,4,19:38:00,20:18:00,00:40:00,5
2018-03-13,Galactic Trendsetters,4,19:19:00,20:20:00,01:01:00,5
2018-03-13,Low Line,3,19:01:00,20:33:00,01:32:00,5
2018-03-13,Scent of Pot Roast,5,19:19:00,20:36:00,01:17:00,5
2018-03-13,4 Score & 7 Beers Ago,4,19:58:00,20:32:00,00:34:00,5
2018-03-13,Horcrux Flotsam,3,19:36:00,20:38:00,01:02:00,5
2018-03-13,Zero Seconds,2,19:00:00,20:39:00,01:39:00,5
2018-03-13,Epic Sailors,2,19:16:00,20:49:00,01:33:00,5
2018-03-13,Bonnie & Clyde,2,19:00:00,20:59:00,01:59:00,5
2018-03-13,Plant & Whale,4,19:32:00,21:14:00,01:42:00,5
2018-03-13,Team Knutson,3,19:23:00,21:25:00,02:02:00,5
2018-03-13,Puzzlestar Puzzlactica,3,19:26:00,20:56:00,01:30:00,5
2018-03-13,Lady Charlotte's Party Train,3,19:41:00,21:40:00,01:59:00,5
2018-03-13,Button Classic,5,,,00:00:00,5
2018-03-13,GC,2,,,,
2018-04-10,All Beauty No Brains (formerly Puzzle McPuzzle Face),3,19:13:00,22:07:00,02:54:00,4
2018-04-10,Knuts and Friends,5,19:05:00,22:00:00,02:55:00,4
2018-04-10,Plant & Whale,4,19:15:00,21:30:00,02:15:00,5
2018-04-10,Button Classic,4,19:46:00,21:29:00,01:43:00,5
2018-04-10,The French Broad,4,19:55:00,21:26:00,01:31:00,5
2018-04-10,I Don't Have a Beef Wrench,3,19:03:00,21:00:00,01:57:00,5
2018-04-10,Pickled Black Licorice,5,19:15:00,21:05:00,01:50:00,5
2018-04-10,Oh Hi Open,3,19:28:00,20:59:00,01:31:00,5
2018-04-10,Spinish,5,19:03:00,20:36:00,01:33:00,5
2018-04-10,Go Umlaughts!,3,19:00:00,20:35:00,01:35:00,5
2018-04-10,Puzzlestar Puzzlactica,4,19:21:00,20:30:00,01:09:00,5
2018-04-10,Scent of Pot Roast,6,19:05:00,20:28:00,01:23:00,5
2018-04-10,Gentleman Johnny's Party Train,3,19:26:00,20:23:00,00:57:00,5
2018-04-10,Dr. Dough,4,19:48:00,20:17:00,00:29:00,5
2018-04-10,Zero Seconds,2,19:03:00,20:12:00,01:09:00,5
2018-04-10,Lousy Smarch Weather,5,19:19:00,20:00:00,00:41:00,5
2018-04-10,Four Score and Seven Beers Ago,2,19:04:00,19:54:00,00:50:00,5
2018-04-10,12 Cats and a Foghorn,2,19:02:00,19:52:00,00:50:00,5
2018-04-10,GC,2,,,,
2018-05-08,Low Brow LiNe,4,19:03:00,19:31:00,00:28:00,5
2018-05-08,Those Darn Meddling Kids,5,19:04:00,19:31:00,00:27:00,5
2018-05-08,Zero Seconds,2,19:07:00,19:41:00,00:34:00,5
2018-05-08,High-Pressure Puzzle Solvers,5,19:00:00,19:50:00,00:50:00,5
2018-05-08,Textbook Examples,2,19:06:00,19:55:00,00:49:00,5
2018-05-08,Puzzlestar Puzzlactica,5,19:17:00,19:58:00,00:41:00,5
2018-05-08,Gentleman Johnny's Party Train,5,19:20:00,19:58:00,00:38:00,5
2018-05-08,Plant and Whale,5,19:17:00,20:02:00,00:45:00,5
2018-05-08,Dr. No & No,4,19:51:00,20:14:00,00:23:00,5
2018-05-08,Knuts & Friends,5,19:04:00,20:16:00,01:12:00,5
2018-05-08,Squiiiiiiiiid,4,19:13:00,20:17:00,01:04:00,5
2018-05-08,I Don't Have a Beef Wrench,4,19:08:00,20:19:00,01:11:00,5
2018-05-08,Stumped,2,19:05:00,20:24:00,01:19:00,5
2018-05-08,Button Classic,4,19:47:00,20:42:00,00:55:00,5
2018-05-08,Pickled Black Licorice,3,19:29:00,20:46:00,01:17:00,5
2018-05-08,JoRA,2,19:19:00,21:35:00,02:16:00,5
2018-05-08,Bludfart,3,19:07:00,21:44:00,02:37:00,5
2018-05-08,GC,2,,,,
2018-06-12,Team Knut,3,19:23:00,21:44:00,02:21:00,5
2018-06-12,Lady Charlotte,3,19:22:00,21:43:00,02:21:00,5
2018-06-12,Pickled Black Licorice,6,19:18:00,21:36:00,02:18:00,5
2018-06-12,Button Classic,4,20:06:00,21:35:00,01:29:00,5
2018-06-12,Puzzlestar Puzzlactica,2,19:11:00,21:32:00,02:21:00,5
2018-06-12,Squiiiiiid,5,19:43:00,21:29:00,01:46:00,5
2018-06-12,Numbskulls,3,19:12:00,21:22:00,02:10:00,5
2018-06-12,Low Brau Line,4,19:02:00,21:18:00,02:16:00,5
